iter	Logloss
129	0.2685549589
130	0.2683881549
131	0.2682271431
132	0.2680789403
133	0.267934323
134	0.2677821682
135	0.2676363648
136	0.2674931537
137	0.2673617344
138	0.2672180018
139	0.2670893685
140	0.2669654646
141	0.266832874
142	0.2667016448
143	0.2665853619
144	0.2664589791
145	0.2663398203
146	0.2662248058
147	0.2661058726
148	0.2659945862
149	0.2658917915
150	0.2657774402
151	0.2656761748
152	0.2655701013
153	0.2654733595
154	0.2653765512
155	0.2652812243
156	0.2651866088
157	0.2650884907
158	0.2649946682
159	0.2648980763
160	0.2648058781
161	0.2647196916
162	0.2646322045
163	0.2645474461
164	0.2644592325
165	0.2643705995
166	0.2642859098
167	0.2642050874
168	0.2641219459
169	0.2640434206
170	0.2639722358
171	0.2638987965
172	0.2638267954
173	0.2637544476
174	0.2636845141
175	0.263619801
176	0.2635536925
177	0.2634867712
178	0.2634275821
179	0.2633625887
180	0.2633017227
181	0.2632457235
182	0.2631842577
183	0.2631271808
184	0.2630666268
185	0.26300637
186	0.2629473275
187	0.2628972989
188	0.2628421321
189	0.2627857052
190	0.2627348092
191	0.2626855193
192	0.2626339357
193	0.2625792948
194	0.262530037
195	0.2624803906
196	0.2624348595
197	0.2623841759
198	0.2623339818
199	0.2622826309
200	0.2622339268
201	0.2621954918
202	0.2621556636
203	0.2621127485
204	0.2620703593
205	0.2620304848
206	0.2619892114
207	0.2619472194
208	0.2619044044
209	0.2618629729
210	0.2618257772
211	0.2617865274
212	0.261749907
213	0.2617118494
214	0.2616743008
215	0.261637601
216	0.2615987995
217	0.2615610114
218	0.2615242998
219	0.2614913145
220	0.2614545009
221	0.2614226066
222	0.2613883159
223	0.2613552217
224	0.2613162601
225	0.2612818027
226	0.2612519662
227	0.2612159127
228	0.2611840492
229	0.2611508243
230	0.2611209995
231	0.2610933395
232	0.261066642
233	0.2610368972
234	0.2610060763
235	0.2609775845
236	0.2609469908
237	0.2609191461
238	0.2608933354
239	0.2608707277
240	0.2608433564
241	0.2608215279
242	0.2607918356
243	0.2607614067
244	0.2607297867
245	0.2607059567
246	0.2606831385
247	0.2606621863
248	0.2606281497
249	0.2606075406
250	0.2605886917
251	0.2605648869
252	0.2605398553
253	0.2605171761
254	0.2604943564
255	0.26047648
256	0.2604547195
257	0.2604322795
258	0.2604064325
259	0.2603860861
260	0.2603655465
261	0.2603416756
262	0.2603227808
263	0.2603028891
264	0.2602783409
265	0.2602577705
266	0.2602320372
267	0.2602099677
268	0.2601886726
269	0.2601666148
270	0.2601479642
271	0.2601276042
272	0.2601074105
273	0.2600908227
274	0.2600727084
275	0.2600516559
276	0.2600330054
277	0.2600156924
278	0.2599997652
279	0.2599844983
280	0.2599650924
281	0.2599444029
282	0.259927406
283	0.2599122782
284	0.2598969923
285	0.2598756969
286	0.2598559871
287	0.2598329293
288	0.2598155622
289	0.2598005266
290	0.25978446
291	0.259766643
292	0.2597448399
293	0.2597322076
294	0.2597151866
295	0.2597012373
296	0.2596850959
297	0.2596713383
298	0.2596526983
299	0.2596304164
300	0.2596115348
301	0.2595984324
302	0.259582802
303	0.2595690255
304	0.2595481984
305	0.2595309488
306	0.2595115734
307	0.2594959954
308	0.2594767845
309	0.2594645765
310	0.2594472827
311	0.2594300009
312	0.2594150414
313	0.2594019368
314	0.2593901635
315	0.2593713989
316	0.259349681
317	0.2593364817
318	0.2593198514
319	0.259302732
320	0.2592854601
321	0.2592713169
322	0.2592538207
323	0.2592409746
324	0.2592265207
325	0.259214379
326	0.2592000608
327	0.2591890736
328	0.2591718236
329	0.2591594083
330	0.2591413588
331	0.2591302542
332	0.2591123335
333	0.2590999172
334	0.2590862153
335	0.2590687262
336	0.2590572723
337	0.2590417388
338	0.2590275158
339	0.2590098142
340	0.2589938241
341	0.2589818439
342	0.2589652684
343	0.2589542677
344	0.2589408816
345	0.2589305463
346	0.2589207421
347	0.2589077889
348	0.25889807
349	0.2588794567
350	0.2588624731
351	0.258847739
352	0.2588362225
353	0.2588262775
354	0.2588148152
355	0.2587948253
356	0.2587839807
357	0.2587665218
358	0.2587551781
359	0.2587444134
360	0.2587315485
361	0.2587192238
362	0.2587068155
363	0.258696307
364	0.258686644
365	0.2586698966
366	0.2586593505
367	0.2586434604
368	0.2586339654
369	0.2586224702
370	0.2586094067
371	0.2585983142
372	0.2585843286
373	0.2585752375
374	0.2585659753
375	0.2585513742
376	0.2585420424
377	0.2585310027
378	0.258515323
379	0.2585046737
380	0.2584946729
381	0.2584842765
382	0.2584708106
383	0.2584588696
384	0.2584494493
385	0.2584388505
386	0.2584269718
387	0.2584171122
388	0.2584073662
389	0.2583976351
390	0.2583837261
391	0.2583678393
392	0.2583600694
393	0.2583448211
394	0.2583307932
395	0.258322916
396	0.2583095807
397	0.2582999703
398	0.2582895976
399	0.2582825271
400	0.2582724187
401	0.2582602957
402	0.2582517546
403	0.258242901
404	0.2582350879
405	0.2582264182
406	0.2582117116
407	0.2582044047
408	0.258189669
409	0.2581766901
410	0.2581679642
411	0.2581591365
412	0.2581482733
413	0.2581399855
414	0.258130682
415	0.2581174012
416	0.2581066414
417	0.2580973161
418	0.2580880045
419	0.2580792018
420	0.2580677662
421	0.2580544157
422	0.2580466436
423	0.2580384066
424	0.2580310795
425	0.2580224522
426	0.2580142896
427	0.2580066822
428	0.2579931486
429	0.2579817898
430	0.2579727918
431	0.2579655547
432	0.2579580185
433	0.2579494894
434	0.2579410098
435	0.2579342767
436	0.2579270718
437	0.2579178554
438	0.2579033131
439	0.2578884585
440	0.2578823639
441	0.257874482
442	0.257867557
443	0.2578553406
444	0.2578449795
445	0.257836982
446	0.2578228862
447	0.2578161024
448	0.2578041355
449	0.2577965265
450	0.257785181
451	0.2577774702
452	0.2577700482
453	0.2577625106
454	0.2577548611
455	0.2577490502
456	0.2577408331
457	0.2577326999
458	0.2577247445
459	0.2577183716
460	0.2577103557
461	0.257698287
462	0.2576918086
463	0.2576832998
464	0.257676589
465	0.2576692655
466	0.257658319
467	0.2576515622
468	0.257640736
469	0.2576336041
470	0.2576265759
471	0.2576203253
472	0.2576127402
473	0.2576049681
474	0.2575984964
475	0.2575900726
476	0.2575838506
477	0.2575731145
478	0.2575669724
479	0.2575555962
480	0.2575481788
481	0.2575421709
482	0.2575369777
483	0.2575300173
484	0.2575224901
485	0.2575155604
486	0.2575087714
487	0.2575020029
488	0.257495501
489	0.257488687
490	0.2574775469
491	0.2574723334
492	0.2574600151
493	0.2574456987
494	0.2574343259
495	0.2574272297
496	0.2574188062
497	0.2574127842
498	0.2574036762
499	0.2573934104
